,Amplicon names,CHROM,Length,12_NA14634,11_NA14624,9_NA14090,16_252LG,13_NA14639,15_NA14626,10_NA14094,14_NA13710
0,BRCA2_E2-1,13,197,0.9273857363405041,1.1250083644139317,0.9288149274790138,1.122686861344125,1.0,1.1740612768498213,1.061181748131542,0.8808235202698304
1,BRCA2_E2-2,13,135,0.9540731705939518,1.0372887964346214,1.0783029052112645,1.2425880851406255,0.9183885845547316,0.9611233949735508,1.0,0.8858393311392395
2,BRCA2_E3-1,13,144,0.9942231667018039,1.1253799386796681,0.9560538822859064,1.064800961486684,1.0496544590985575,0.9195226879455319,1.0,0.9968112141400627
3,BRCA2_E3-2,13,159,0.943334197687432,1.0466401744707863,1.0178838831144716,1.134814217938035,0.9878130309539148,0.957202889377121,0.9321243356559498,1.0
4,BRCA2_E3-3,13,137,0.9166017303043019,1.0888428232074032,1.0,1.0070140468906277,0.920090935049938,0.9092922307322681,1.0018362401166676,0.969586900877195
5,BRCA2_E4-1,13,202,1.0,1.0904640929752725,1.0265500087493438,1.0376957190956415,0.9120711527875499,0.9836456571957019,0.8956974520097908,0.9311836129055607
6,BRCA2_E4-2,13,225,1.1204524217007086,1.0,1.022041343139866,0.9551040311388315,1.05886655008547,1.1194570673837694,0.9408421259047635,0.8647818280653685
7,BRCA2_E5/6/7-1,13,260,0.9627215789891248,1.0,1.0565901273683544,0.9658064640361874,1.0091953911452076,1.1970182992816951,0.984475383917738,1.0264507797016589
8,BRCA2_E5/6/7-2,13,185,1.0,1.0411674909886919,0.954502055982165,1.1563146897251977,0.9774235263041374,1.1494110306701848,1.0095231593457266,0.9788334645821986
9,BRCA2_E5/6/7-3,13,196,1.0158114063497907,0.9937326877996371,0.934083464792772,1.0,1.071963205183952,1.2250880892657623,0.9827859330037987,1.1535494009457432
10,BRCA2_E5/6/7-4,13,180,0.8562688611917355,1.043257339889553,1.0264757956983013,1.0059401411730915,0.9205514919777011,0.881678175411518,1.0,0.933511407065572
11,BRCA2_E5/6/7-5,13,215,0.802182681962136,0.9506134424638043,1.0,1.0197436485073612,0.9328209094339046,1.0373636448240973,1.01520290593832,1.0048809942335553
12,BRCA2_E5/6/7-6,13,146,0.9486908206301911,1.0001388799718862,0.8906010639678215,1.1339504590806202,1.0,1.0717658479109344,0.8755837481389919,1.0375126985206562
13,BRCA2_E8-1,13,223,0.9833713151727143,1.0,0.9802148129799356,1.039889377915197,1.1492992598099832,0.8537205884232455,0.8871269408509123,1.158873163382447
14,BRCA2_E8-2,13,228,0.9968342215525825,1.0818289989602172,1.0734649695793366,0.9591536903843898,1.0,1.0575291911972868,0.9988701857817847,1.0578301977324542
15,BRCA2_E9-1,13,169,1.0384481401339156,1.0548041264530137,0.8969390382207821,1.0,1.0172521244435624,0.9555473039467136,0.8950605858146947,0.9768062287956188
16,BRCA2_E9-2,13,218,1.0879106016909492,0.9471903046193741,1.0,0.92747440758204,1.0374159155526284,1.0671766256332766,1.0247093832783711,0.9826730195793034
17,BRCA2_E10-1,13,225,1.0163731773525788,0.9933821643119843,1.0053100649111548,0.9930845070565805,0.9237942297276354,1.0783829705466146,1.0060546775461046,1.0
18,BRCA2_E10-2,13,244,1.029055641653752,0.9532862350137509,1.0325197417662555,0.9432639649963256,0.9714081116990426,0.9952766747577488,1.0354355412373926,1.0
19,BRCA2_E10-3,13,216,1.040968629569937,1.0,1.1040783460282915,0.9545898122811279,1.0019904876122567,1.056788050875292,0.9573559371698751,0.9678530318021403
20,BRCA2_E10-4,13,140,1.0482894675849175,0.9910333606123677,1.0448759600049435,0.9694694933381731,0.9583670158594606,1.046756858354748,1.0,1.0197892962686632
21,BRCA2_E10-5,13,219,1.171224501396326,0.9807501665660852,0.9960759314038367,1.0478714719560536,1.0,1.14060223338788,0.9754782565179192,1.0427396254802683
22,BRCA2_E10-6,13,217,1.0,0.9569333050064995,1.1381770596504626,0.9569424340638709,1.106623221234632,1.0297020142923536,1.0536390663229631,0.9936209189448811
23,BRCA2_E10-7,13,216,1.0372675738797483,0.9950307890026886,0.9893253860127158,1.0209263801243689,1.0594134514636475,0.8785006326444539,0.9197671675266261,1.0
24,BRCA2_E10-8,13,231,1.0629983874654139,0.9845346342386477,1.0,0.9517317412820844,1.0753589604242866,1.064947211049504,1.0243772406348823,0.9854986455394038
25,BRCA2_E10-9,13,225,1.0337544771800127,0.9025958550518905,0.9468048340619057,0.8818176386389665,1.0041000830312967,1.469992171593809,1.016051705839133,1.0
26,BRCA2_E11-1,13,202,0.9861958044885556,0.9950747993607971,1.0,1.1198978642892123,0.9618217025307929,1.0296603119818133,1.0272576148405572,1.055478780682353
27,BRCA2_E11-2,13,250,1.0,1.0182228799501425,0.44967297713541043,0.9330299835215815,1.0007858959613074,1.0493374653879302,1.045302373018998,0.9627442688911954
28,BRCA2_E11-3,13,225,1.080323218729516,0.9537934602597863,1.0798982471837,0.9250454498387137,0.9385544322118026,0.8677025563871911,1.0307667873176858,1.0
29,BRCA2_E11-4,13,223,1.0298002648367417,0.9165286667158997,1.021709208145267,0.8992518300585556,1.0,0.9891923078161372,1.1085360469573287,0.909569060268637
30,BRCA2_E11-5,13,204,1.0789013745932288,1.0,0.9767338527075257,0.9400136364570727,0.8268078199462802,1.240347898346544,1.0776441687065925,1.0428385794601658
31,BRCA2_E11-6,13,235,1.0,1.0053008038796556,1.176907563326823,0.9924214588524044,0.9531626078767095,1.0992524471280072,0.9483216494366036,1.0880245546787983
32,BRCA2_E11-7,13,147,0.9375303772726198,1.1230617373503051,1.0,1.030271532452382,0.9636494063892755,0.9660917615054797,0.9347560124655654,1.0143572502350378
33,BRCA2_E11-8,13,189,1.0064447852438525,1.0080855094041934,0.9939873333824287,0.7986553113979126,1.0313333528805446,1.0910726458216968,0.9277827887328701,1.0
34,BRCA2_E11-9,13,278,1.0804408794077143,0.90603881017522,1.0943999848622463,1.0,0.9562020153550863,1.347844986487964,1.0610325708768589,0.9813510911101537
35,BRCA2_E11-10,13,212,0.9224154227452372,1.0157319325958476,1.0,1.0205434995973972,0.9328404222024628,0.9009014738300911,1.0648006255769742,0.9998909927077513
36,BRCA2_E11-11,13,218,0.9256574319878383,0.9851849470865027,1.0276123889910649,1.0930350250731953,0.9854924780305944,0.9332313477113997,1.0,1.0724436339805088
37,BRCA2_E11-12,13,225,1.0,1.0997601864727575,1.0745125484009752,0.9242250264283699,0.9970079444905623,1.146119410715739,1.0146385536598963,0.9302541192810632
38,BRCA2_E11-13,13,195,0.9809266242534801,1.0,0.9992802062007512,1.0000035670291225,0.9789631407256377,0.8892947135241527,1.0329289376639028,1.0320353081095786
39,BRCA2_E11-14,13,218,0.9888390646730275,0.8999260628072799,1.0482622483599737,1.0100432611673993,0.9725576646134515,0.9959472269264278,1.0,1.0118181672290099
40,BRCA2_E11-15,13,237,1.039632056915176,0.9583799106113496,1.033270295567527,0.9969205733948842,0.9397543466475726,0.9709397801895895,1.0215877858853144,1.0
41,BRCA2_E11-16,13,215,1.054177221870863,0.9572839993363705,0.9738453803025251,1.0,0.923087047172117,1.1269145675901358,1.126675137581695,1.0230018820210092
42,BRCA2_E11-17,13,177,1.0,1.0602383806751183,1.1132752583160221,0.9075131458998938,0.993349695897571,1.052425345866514,1.032679043399787,0.9915126434088012
43,BRCA2_E11-18,13,150,1.0139480668746117,1.0,1.0349934185705303,0.9922406600161935,0.9866566239494555,0.7278653819117759,1.0118440653060043,0.9938560593773815
44,BRCA2_E11-19,13,223,0.9084889732378557,0.9750320076788515,1.035438791393968,1.0,0.9921912270798541,1.1122025715938495,1.1496751797989733,1.0497787841515185
45,BRCA2_E11-20,13,171,1.0131510054768706,1.0108258385472273,0.8488055369141083,1.0065849319183395,0.8355899096420225,0.8243706407918631,0.9608845976161406,1.0
46,BRCA2_E11-21,13,158,0.885555805565215,0.9152046092002246,1.0816920980926432,0.9611256999968968,1.069578558659856,0.8023457790406003,1.0444445214921043,1.0
47,BRCA2_E11-22,13,183,1.0,1.1884811161877222,1.0471931897033189,0.9214813916677816,0.9389036124157257,1.0218368432220597,1.0224251212635236,0.9891208242032831
48,BRCA2_E11-23,13,158,0.9899434979501339,1.0200301453065497,0.9400286529291553,1.0,0.9310843899517371,0.8535897630219317,1.1219198299792874,1.085313756652554
49,BRCA2_E11-24,13,149,0.9565274353770002,0.9273066197580243,1.04587586200366,1.0105952190842233,1.1363765914251678,0.8997369386311063,0.9994719504938707,1.0
50,BRCA2_E11-25,13,151,0.9806615293539951,1.1343103657330575,1.1666487440158129,0.9589102531143491,1.0881268562745894,0.8513680691785169,0.934762879250414,1.0
51,BRCA2_E11-26,13,234,1.0766989910862963,1.0,1.087002443011896,0.9821303772961953,0.9637685908695856,1.039119496078976,1.1353693002717533,0.9968051871500148
52,BRCA2_E11-27,13,260,1.0635378804729976,1.0,0.8954873271297106,0.964462447956328,0.9250119207136736,1.1705014934122746,1.1145004346238543,1.017240416857553
